Julian Day	Date	Time	Zenith Angle (Degrees)	Azimuthal Angle (Degrees)
2458453.833333	2018/12/1	0:0:0	118.400304	177.079719	
2458453.834028	2018/12/1	0:1:0	118.389964	176.816197	
2458453.834722	2018/12/1	0:2:0	118.378742	176.552748	
2458453.835417	2018/12/1	0:3:0	118.366638	176.289379	
2458453.836111	2018/12/1	0:4:0	118.353653	176.026096	
2458453.836806	2018/12/1	0:5:0	118.339787	175.762904	
2458453.837500	2018/12/1	0:6:0	118.325040	175.499809	
2458453.838194	2018/12/1	0:7:0	118.309414	175.236818	
2458453.838889	2018/12/1	0:8:0	118.292910	174.973936	
2458453.839583	2018/12/1	0:9:0	118.275527	174.711169	
2458453.840278	2018/12/1	0:10:0	118.257267	174.448522	
2458453.840972	2018/12/1	0:11:0	118.238130	174.186003	
2458453.841667	2018/12/1	0:12:0	118.218117	173.923616	
2458453.842361	2018/12/1	0:13:0	118.197230	173.661367	
2458453.843056	2018/12/1	0:14:0	118.175469	173.399263	
2458453.843750	2018/12/1	0:15:0	118.152834	173.137308	
2458453.844444	2018/12/1	0:16:0	118.129328	172.875509	
2458453.845139	2018/12/1	0:17:0	118.104950	172.613870	
2458453.845833	2018/12/1	0:18:0	118.079703	172.352399	
2458453.846528	2018/12/1	0:19:0	118.053587	172.091099	
2458453.847222	2018/12/1	0:20:0	118.026603	171.829978	
2458453.847917	2018/12/1	0:21:0	117.998752	171.569040	
2458453.848611	2018/12/1	0:22:0	117.970036	171.308292	
2458453.849306	2018/12/1	0:23:0	117.940456	171.047737	
2458453.850000	2018/12/1	0:24:0	117.910013	170.787383	
2458453.850694	2018/12/1	0:25:0	117.878708	170.527234	
2458453.851389	2018/12/1	0:26:0	117.846543	170.267296	
2458453.852083	2018/12/1	0:27:0	117.813520	170.007574	
2458453.852778	2018/12/1	0:28:0	117.779638	169.748073	
2458453.853472	2018/12/1	0:29:0	117.744901	169.488799	
2458453.854167	2018/12/1	0:30:0	117.709309	169.229757	
2458453.854861	2018/12/1	0:31:0	117.672864	168.970952	
2458453.855556	2018/12/1	0:32:0	117.635567	168.712389	
2458453.856250	2018/12/1	0:33:0	117.597420	168.454074	
2458453.856944	2018/12/1	0:34:0	117.558425	168.196011	
2458453.857639	2018/12/1	0:35:0	117.518583	167.938206	
2458453.858333	2018/12/1	0:36:0	117.477896	167.680662	
2458453.859028	2018/12/1	0:37:0	117.436366	167.423387	
2458453.859722	2018/12/1	0:38:0	117.393994	167.166383	
2458453.860417	2018/12/1	0:39:0	117.350782	166.909657	
2458453.861111	2018/12/1	0:40:0	117.306731	166.653213	
2458453.861806	2018/12/1	0:41:0	117.261845	166.397055	
2458453.862500	2018/12/1	0:42:0	117.216124	166.141189	
2458453.863194	2018/12/1	0:43:0	117.169570	165.885618	
2458453.863889	2018/12/1	0:44:0	117.122185	165.630349	
2458453.864583	2018/12/1	0:45:0	117.073972	165.375384	
2458453.865278	2018/12/1	0:46:0	117.024931	165.120730	
2458453.865972	2018/12/1	0:47:0	116.975066	164.866389	
2458453.866667	2018/12/1	0:48:0	116.924378	164.612368	
2458453.867361	2018/12/1	0:49:0	116.872869	164.358669	
2458453.868056	2018/12/1	0:50:0	116.820541	164.105298	
2458453.868750	2018/12/1	0:51:0	116.767396	163.852258	
2458453.869444	2018/12/1	0:52:0	116.713437	163.599554	
2458453.870139	2018/12/1	0:53:0	116.658665	163.347190	
2458453.870833	2018/12/1	0:54:0	116.603083	163.095170	
2458453.871528	2018/12/1	0:55:0	116.546693	162.843499	
2458453.872222	2018/12/1	0:56:0	116.489497	162.592179	
2458453.872917	2018/12/1	0:57:0	116.431498	162.341216	
2458453.873611	2018/12/1	0:58:0	116.372696	162.090612	
2458453.874306	2018/12/1	0:59:0	116.313096	161.840373	
2458453.875000	2018/12/1	1:0:0	116.252699	161.590501	
2458453.875694	2018/12/1	1:1:0	116.191507	161.341000	
2458453.876389	2018/12/1	1:2:0	116.129523	161.091875	
2458453.877083	2018/12/1	1:3:0	116.066750	160.843128	
2458453.877778	2018/12/1	1:4:0	116.003189	160.594763	
2458453.878472	2018/12/1	1:5:0	115.938843	160.346784	
2458453.879167	2018/12/1	1:6:0	115.873714	160.099194	
2458453.879861	2018/12/1	1:7:0	115.807805	159.851997	
2458453.880556	2018/12/1	1:8:0	115.741119	159.605196	
2458453.881250	2018/12/1	1:9:0	115.673657	159.358794	
2458453.881944	2018/12/1	1:10:0	115.605423	159.112795	
2458453.882639	2018/12/1	1:11:0	115.536418	158.867201	
2458453.883333	2018/12/1	1:12:0	115.466646	158.622016	
2458453.884028	2018/12/1	1:13:0	115.396109	158.377243	
2458453.884722	2018/12/1	1:14:0	115.324810	158.132885	
2458453.885417	2018/12/1	1:15:0	115.252750	157.888944	
2458453.886111	2018/12/1	1:16:0	115.179933	157.645424	
2458453.886806	2018/12/1	1:17:0	115.106362	157.402328	
2458453.887500	2018/12/1	1:18:0	115.032039	157.159658	
2458453.888194	2018/12/1	1:19:0	114.956966	156.917416	
2458453.888889	2018/12/1	1:20:0	114.881147	156.675607	
2458453.889583	2018/12/1	1:21:0	114.804583	156.434232	
2458453.890278	2018/12/1	1:22:0	114.727278	156.193294	
2458453.890972	2018/12/1	1:23:0	114.649235	155.952795	
2458453.891667	2018/12/1	1:24:0	114.570456	155.712738	
2458453.892361	2018/12/1	1:25:0	114.490944	155.473125	
2458453.893056	2018/12/1	1:26:0	114.410701	155.233958	
2458453.893750	2018/12/1	1:27:0	114.329731	154.995241	
2458453.894444	2018/12/1	1:28:0	114.248036	154.756974	
2458453.895139	2018/12/1	1:29:0	114.165619	154.519160	
2458453.895833	2018/12/1	1:30:0	114.082482	154.281802	
2458453.896528	2018/12/1	1:31:0	113.998630	154.044901	
2458453.897222	2018/12/1	1:32:0	113.914063	153.808459	
2458453.897917	2018/12/1	1:33:0	113.828786	153.572479	
